pair,median_acc_diff,statistic,p_raw,p_holm,significant_0.05
csp_lda vs csp_svm,0.0333333333333333,57.0,0.3559586988465746,0.3559586988465746,False
csp_lda vs riemann_lr,-0.03333333333333338,53.0,0.16735076904296875,0.3347015380859375,False
csp_svm vs riemann_lr,-0.05694444444444452,24.0,0.022894784183124593,0.06868435254937377,False
