model,acc_mean,acc_std,kappa_mean,kappa_std,n_subjects
riemann_lr,0.6042771342771343,0.13122309262755816,0.2002856181493184,0.26434151438489006,37
csp_lda,0.5957400257400257,0.1635097088831948,0.1739188820854621,0.31966006387881984,37
denoising_eegnet,0.5854997854997855,0.10156734585350238,0.16746007813283922,0.19774283543598709,37
csp_svm,0.5601501501501501,0.09618439279996072,0.10276716411057535,0.19311110984209737,37
eegnet,0.5418768768768768,0.09920249707873618,0.07162110437870389,0.19848788075572962,37
